City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,San Francisco,37.77,-122.42,69.01,60,20,19.46,US,2020-09-02 23:56:49
1,Saint George,37.1,-113.58,99.0,10,1,9.17,US,2020-09-02 23:58:28
2,Muzhi,65.37,64.67,47.48,78,94,18.79,RU,2020-09-02 23:59:07
3,Washington,47.5,-120.5,87.01,27,69,8.01,US,2020-09-02 23:57:01
4,Ilebo,-4.32,20.58,75.24,79,85,1.48,CD,2020-09-02 23:59:08
5,Clyde River,70.47,-68.59,42.8,87,75,14.99,CA,2020-09-02 23:59:08
6,Tuktoyaktuk,69.45,-133.04,50.0,93,75,6.93,CA,2020-09-02 23:59:08
7,Rikitea,-23.12,-134.97,70.09,84,4,17.96,PF,2020-09-02 23:59:09
8,Oltu,40.55,42.0,64.85,55,46,1.32,TR,2020-09-02 23:59:09
9,Leningradskiy,69.38,178.42,36.12,84,99,5.64,RU,2020-09-02 23:59:09
10,Bluff,-46.6,168.33,51.12,65,52,8.23,NZ,2020-09-02 23:59:10
11,Vernon,50.26,-119.27,77.0,31,40,3.36,CA,2020-09-02 23:54:22
12,Erenhot,43.65,111.98,60.3,47,5,2.98,CN,2020-09-02 23:59:10
13,Meulaboh,4.14,96.13,76.71,80,100,3.49,ID,2020-09-02 23:59:10
14,Busselton,-33.65,115.33,59.0,61,95,11.7,AU,2020-09-02 23:59:11
15,Jinchang,38.5,102.17,64.63,28,99,2.71,CN,2020-09-02 23:59:11
16,Rio Grande,-32.03,-52.1,63.0,96,100,3.0,BR,2020-09-02 23:55:49
17,Longyearbyen,78.22,15.64,39.2,86,75,9.17,SJ,2020-09-02 23:59:12
18,Castro,-24.79,-50.01,58.95,95,2,7.38,BR,2020-09-02 23:59:12
19,Sabla,12.75,4.71,75.61,84,65,4.0,NG,2020-09-02 23:59:12
20,Broken Hill,-31.95,141.43,62.6,39,35,11.41,AU,2020-09-02 23:59:12
21,New Norfolk,-42.78,147.06,57.2,58,20,1.12,AU,2020-09-02 23:59:13
22,Mataura,-46.19,168.86,56.35,45,37,3.09,NZ,2020-09-02 23:59:13
23,Atuona,-9.8,-139.03,78.93,78,19,23.73,PF,2020-09-02 23:59:14
24,Mar Del Plata,-38.0,-57.56,46.99,100,90,9.17,AR,2020-09-02 23:57:17
25,Terrasini,38.15,13.08,77.0,65,68,2.24,IT,2020-09-02 23:59:14
26,Acapulco,16.86,-99.89,86.0,70,5,5.82,MX,2020-09-02 23:56:03
27,Ponta Do Sol,32.67,-17.1,71.6,73,40,9.17,PT,2020-09-02 23:59:15
28,Los Llanos De Aridane,28.66,-17.92,71.6,73,4,8.05,ES,2020-09-02 23:59:15
29,Upernavik,72.79,-56.15,38.62,75,71,6.44,GL,2020-09-02 23:59:15
30,Komsomolskiy,40.43,71.72,75.2,44,81,4.7,UZ,2020-09-02 23:59:16
31,Aklavik,68.22,-135.01,50.0,93,90,3.36,CA,2020-09-02 23:59:16
32,Katsuura,35.13,140.3,86.0,84,75,14.99,JP,2020-09-02 23:59:16
33,Kutum,14.2,24.67,70.38,75,99,6.04,SD,2020-09-02 23:59:17
34,Rawson,-43.3,-65.1,54.77,44,83,9.28,AR,2020-09-02 23:59:03
35,Cape Town,-33.93,18.42,60.01,93,75,16.11,ZA,2020-09-02 23:59:17
